diamond 3 15年12月31日20时0时效2513站降水
2010 1 1 8 -1 0 0 0 0
1 2417
56790 104.25 25.68 1 1.0 
51369 87.65 43.97 1 1.0 
56097 104.25 33.27 1 1.0 
57413 106.97 30.85 1 1.0 
54871 122.48 36.93 1 1.0 
54778 122.48 37.17 1 1.0 
54092 129.4 44.6 1 1.0 
54080 127.15 44.9 1 1.0 
54076 126.93 44.38 1 1.0 
54284 127.5 42.15 1 1.0 
50985 131.87 45.55 1 1.0 
56835 97.82 24.07 1 1.0 
51243 84.85 45.62 1 1.0 
56786 103.83 25.58 1 1.0 
57313 106.77 31.87 1 1.0 
51365 87.53 44.2 1 1.0 
56756 100.58 25.48 1 1.0 
54766 121.59 37.43 1 1.0 
56836 97.95 24.7 1 1.0 
56862 101.6 24.68 1 1.0 
56691 104.28 26.87 1 1.0 
54171 126.52 43.68 1 1.0 
54777 122.07 37.2 1 1.0 
56839 98.82 23.77 1 1.0 
55655 85.97 28.19 1 1.0 
54371 126.43 41.93 1 1.0 
56843 99.62 24.83 1 1.0 
54755 120.39 37.33 1 1.0 
51357 85.62 44.33 1 1.0 
53817 106.27 36.0 1 1.0 
56751 100.18 25.7 1 1.0 
51367 86.85 44.17 1 1.0 
51232 82.57 45.18 1 1.0 
51334 82.82 44.57 1 1.0 
56840 98.3 24.82 1 1.0 
54776 122.7 37.4 1 1.0 
57520 107.07 29.83 1 1.0 
56842 99.18 24.73 1 1.0 
54774 122.13 37.47 1 1.0 
55437 81.25 30.28 1 1.0 
54765 121.43 37.48 1 1.0 
54764 121.23 37.48 1 1.0 
50727 119.93 47.17 1 1.0 
51379 89.57 44.02 1 1.0 
51358 85.82 44.28 1 1.0 
58823 117.8 26.8 1 1.0 
54172 126.53 43.87 1 1.0 
54279 126.58 42.05 1 1.0 
50949 124.87 45.08 1 1.0 
54102 116.12 43.95 1 1.0 
51368 87.32 44.12 1 1.0 
51353 86.1 45.02 1 1.0 
50968 127.97 45.22 1 1.0 
56739 98.51 24.98 1 1.0 
56838 97.85 24.0 1 1.0 
51352 85.25 44.85 1 1.0 
50960 127.38 45.73 1 1.0 
51346 84.67 44.43 1 1.0 
56745 99.95 25.68 1 1.0 
56782 103.55 25.42 1 1.0 
56883 103.98 24.82 1 1.0 
59981 112.33 16.83 1 1.0 
57324 107.08 31.58 1 1.0 
54276 126.8 42.4 1 1.0 
51378 89.17 44.0 1 1.0 
57609 105.7 28.58 1 1.0 
54374 126.88 41.8 1 1.0 
57604 105.38 28.78 1 1.0 
56693 104.87 26.58 1 1.0 
59851 110.34 19.67 1 1.0 
56595 104.87 27.42 1 1.0 
56596 105.05 27.85 1 1.0 
54363 125.9 41.68 1 1.0 
56598 104.73 27.13 1 1.0 
57800 105.37 26.77 1 1.0 
55294 91.1 32.35 1 1.0 
56496 105.23 28.32 1 1.0 
57708 105.6 27.15 1 1.0 
57707 105.29 27.3 1 1.0 
54362 125.73 41.67 1 1.0 
59856 110.75 19.62 1 1.0 
54186 128.2 43.37 1 1.0 
51133 83.0 46.73 1 1.0 
57805 105.77 26.68 1 1.0 
55664 87.08 28.63 1 1.0 
56586 103.72 27.35 1 1.0 
57608 105.43 28.17 1 1.0 
51238 82.07 44.9 1 1.0 
55228 80.08 32.5 1 1.0 
51431 81.33 43.95 1 1.0 
54483 123.9 40.88 1 1.0 
57807 105.47 26.21 1 1.0 
56018 95.28 32.88 1 1.0 
59951 110.33 18.8 1 1.0 
51433 82.52 43.8 1 1.0 
51434 81.53 43.97 1 1.0 
51437 81.13 43.15 1 1.0 
51186 90.38 46.67 1 1.0 
51288 90.53 45.37 1 1.0 
51053 86.4 48.05 1 1.0 
51060 86.87 47.7 1 1.0 
51087 89.52 46.98 1 1.0 
51145 83.65 46.55 1 1.0 
53981 113.27 35.78 1 1.0 
50525 119.75 49.15 1 1.0 
51430 81.15 43.83 1 1.0 
51436 83.3 43.45 1 1.0 
55773 89.08 27.73 1 1.0 
55690 91.95 27.98 1 1.0 
51241 83.6 45.93 1 1.0 
51329 80.85 44.05 1 1.0 
51068 87.48 47.12 1 1.0 
54493 124.78 40.72 1 1.0 
55248 84.42 32.15 1 1.0 
51435 82.23 43.47 1 1.0 
51058 87.97 47.1 1 1.0 
54494 124.07 40.47 1 1.0 
51482 90.28 43.83 1 1.0 
51328 80.42 44.2 1 1.0 
57811 106.6 26.83 1 1.0 
53976 112.87 35.5 1 1.0 
51438 81.77 43.18 1 1.0 
51059 85.87 47.43 1 1.0 
51076 88.08 47.73 1 1.0 
51137 82.93 46.2 1 1.0 
59021 107.03 24.55 1 1.0 
59640 109.18 21.67 1 1.0 
56394 104.43 29.45 1 1.0 
57829 107.8 26.2 1 1.0 
57844 109.18 26.68 1 1.0 
56491 104.57 28.7 1 1.0 
57308 105.38 31.22 1 1.0 
56181 103.7 30.68 1 1.0 
59626 107.95 21.56 1 1.0 
56272 103.88 30.82 1 1.0 
57813 106.47 26.57 1 1.0 
59246 109.67 23.6 1 1.0 
59047 109.33 24.25 1 1.0 
57956 110.32 25.42 1 1.0 
50958 126.93 45.53 1 1.0 
55696 92.47 28.42 1 1.0 
56188 103.66 31.0 1 1.0 
56498 104.5 28.15 1 1.0 
57809 105.75 26.07 1 1.0 
57808 105.75 26.32 1 1.0 
56106 93.78 31.88 1 1.0 
56390 104.07 29.67 1 1.0 
57543 110.03 29.9 1 1.0 
59218 106.42 23.13 1 1.0 
56016 95.62 33.85 1 1.0 
56033 98.22 34.92 1 1.0 
57208 105.52 32.28 1 1.0 
