50958 126.95  45.52  174 阿城           黑龙江 一般站 
50960 127.45  45.78  192 宾县           黑龙江 一般站 
50962 128.03  45.95  112 木兰           黑龙江 一般站 
50963 128.73  45.97  109 通河           黑龙江 基本站 
50964 128.80  45.83  119 方正           黑龙江 一般站 
50965 128.28  45.45  155 延寿           黑龙江 一般站 
50968 127.97  45.22  190 尚志           黑龙江 基准站 
50971 131.02  45.77  224 七台河         黑龙江 一般站 
50973 130.60  45.75  234 勃利           黑龙江 基本站 
50978 130.92  45.30  273 鸡西           黑龙江 基本站 
50979 130.23  45.27  275 林口           黑龙江 一般站 
50983 132.97  45.77  100 虎林           黑龙江 基本站 
50985 131.87  45.55  152 密山           黑龙江 一般站 
50987 131.10  45.27  220 鸡东           黑龙江 一般站 
51053  86.40  48.05  533 哈巴河         新疆   基本站 
51058  87.97  47.10  563 阿克达拉       新疆   一般站 
51059  85.87  47.43  984 吉木乃         新疆   基本站 
51060  86.87  47.70  474 布尔津         新疆   基本站 
51068  87.47  47.12  501 福海           新疆   基本站 
51076  88.08  47.73  735 阿勒泰         新疆   基准站 
51087  89.52  46.98  808 富蕴           新疆   基本站 
51133  83.00  46.73  535 塔城           新疆   基准站 
51137  82.93  46.20  715 裕民           新疆   一般站 
51145  83.65  46.55  522 额敏           新疆   一般站 
51156  85.72  46.78 1292 和布克赛尔     新疆   基准站 
51186  90.38  46.67 1218 青河           新疆   基准站 
51232  82.57  45.18  336 阿拉山口       新疆   基本站 
51238  82.07  44.90  532 博乐           新疆   基本站 
51241  83.60  45.93 1078 托里           新疆   基本站 
51243  84.85  45.62  450 克拉玛依       新疆   基本站 
51288  90.53  45.37 1654 北塔山         新疆   基准站 
51328  80.42  44.20  771 霍尔果斯       新疆   一般站 
51329  80.85  44.05  640 霍城           新疆   一般站 
51330  81.02  44.97 1358 温泉           新疆   基本站 
51334  82.90  44.60  319 精河           新疆   基本站 
51346  84.67  44.43  479 乌苏           新疆   基准站 
51352  85.25  44.85  337 炮台           新疆   一般站 
51353  86.10  45.02  346 莫索湾         新疆   一般站 
51356  86.05  44.32  443 石河子         新疆   一般站 
51357  85.62  44.33  522 沙湾           新疆   一般站 
51358  85.82  44.28  469 乌兰乌苏       新疆   基准站 
51359  86.20  44.32  471 玛纳斯         新疆   一般站 
51365  87.53  44.20  441 蔡家湖         新疆   基本站 
51367  86.82  44.13  522 呼图壁         新疆   基本站 
51368  87.32  44.12  516 昌吉           新疆   一般站 
51369  87.65  43.97  600 米泉           新疆   一般站 
51377  87.92  44.17  547 阜康           新疆   一般站 
51378  89.17  44.02  735 吉木萨尔       新疆   一般站 
51379  89.57  44.02  794 奇台           新疆   基准站 
51430  81.15  43.83  603 察布查尔       新疆   一般站 
51431  81.33  43.95  663 伊宁           新疆   基准站 
51433  82.52  43.80 1105 尼勒克         新疆   基本站 
51434  81.53  43.97  770 伊宁县         新疆   一般站 
51435  82.23  43.47  775 巩留           新疆   一般站 
51436  83.30  43.45  928 新源           新疆   一般站 
51437  81.13  43.15 1851 昭苏           新疆   基准站 
51438  81.77  43.18 1210 特克斯         新疆   一般站 
51463  87.65  43.78  935 乌鲁木齐       新疆   基本站 
51465  87.10  43.48 1872 小渠子         新疆   一般站 
51467  86.33  42.77 1732 巴仑台         新疆   基本站 
51468  86.83  43.10 3539 天山大西沟     新疆   一般站 
51469  87.18  43.45 1930 乌鲁木齐牧试站 新疆   基本站 
51470  88.12  43.88 1943 天池           新疆   基准站 
51477  88.32  43.35 1104 达坂城         新疆   基本站 
51482  90.28  43.83 1272 木垒           新疆   一般站 
51495  91.73  43.22  721 十三间房       新疆   基准站 
51526  88.22  42.23  922 库米什         新疆   基本站 
51542  84.15  43.03 2458 巴音布鲁克     新疆   基本站 
51559  86.40  42.32 1101 和静           新疆   一般站 
51567  86.57  42.08 1055 焉耆           新疆   基准站 
51568  86.80  42.25 1085 和硕           新疆   一般站 
51571  88.63  42.80    1 托克逊         新疆   一般站 
51572  89.25  42.83  -49 吐鲁番东坎     新疆   一般站 
51573  89.20  42.93   35 吐鲁番         新疆   基本站 
51581  90.23  42.85  399 鄯善           新疆   基本站 
51627  79.23  41.22 1396 乌什           新疆   一般站 
51628  80.23  41.17 1104 阿克苏         新疆   基准站 
51629  80.23  41.27 1133 温宿           新疆   一般站 
51633  81.90  41.78 1229 拜城           新疆   基本站 
51636  82.65  41.55 1010 新和           新疆   一般站 
51639  82.78  41.23  980 沙雅           新疆   基本站 
51642  84.27  41.82  982 轮台           新疆   基准站 
51644  82.97  41.72 1082 库车           新疆   基本站 
51655  86.27  41.35  885 尉犁           新疆   基本站 
51656  86.13  41.75  932 库尔勒         新疆   基本站 
51701  75.40  40.52 3504 吐尔尕特       新疆   基本站 
51704  76.17  39.72 1299 阿图什         新疆   基本站 
51705  75.25  39.72 2176 乌恰           新疆   基本站 
51707  76.73  39.50 1209 伽师           新疆   一般站 
51708  75.95  39.15 1325 阿克陶         新疆   一般站 
51709  75.98  39.47 1289 喀什           新疆   基准站 
51711  78.45  40.93 1985 阿合奇         新疆   基准站 
51716  78.57  39.80 1117 巴楚           新疆   基本站 
51717  76.78  39.25 1206 岳普湖         新疆   一般站 
51720  79.05  40.50 1162 柯坪           新疆   基本站 
51722  80.40  40.65 1044 阿瓦提         新疆   一般站 
51730  81.27  40.55 1012 阿拉尔         新疆   基本站 
51747  83.67  39.00 1099 塔中           新疆   基准站 
51765  87.70  40.63  846 铁干里克       新疆   基准站 
51777  88.17  39.03  888 若羌           新疆   基准站 
51802  76.17  38.93 1298 英吉沙         新疆   一般站 
51804  75.23  37.77 3090 塔什库尔干     新疆   基准站 
51810  77.63  38.92 1178 麦盖提         新疆   基本站 
51811  77.27  38.43 1231 莎车           新疆   基本站 
51814  77.40  37.92 1360 叶城           新疆   一般站 
51815  77.27  38.20 1275 泽普           新疆   一般站 
51818  78.28  37.62 1375 皮山           新疆   基本站 
51826  80.80  37.02 1337 策勒           新疆   一般站 
51827  79.72  37.28 1326 墨玉           新疆   一般站 
51828  79.93  37.13 1375 和田           新疆   基准站 
51829  80.17  37.08 1348 洛浦           新疆   一般站 
51839  82.72  37.07 1410 民丰           新疆   基准站 
51855  85.55  38.15 1247 且末           新疆   基准站 
51886  90.85  38.25 2945 茫崖           青海   基准站 
51931  81.65  36.85 1422 于田           新疆   基本站 
52101  93.05  43.60 1677 巴里坤         新疆   基本站 
52112  95.13  43.77  479 淖毛湖         新疆   基本站 
52118  94.70  43.27 1729 伊吾           新疆   基本站 
52203  93.52  42.82  737 哈密           新疆   基准站 
52267 101.07  41.95  941 额济纳旗       内蒙古 基准站 
52313  94.67  41.53 1574 红柳河         新疆   基准站 
52323  97.03  41.80 1770 马鬃山         甘肃   基准站 
52418  94.68  40.15 1139 敦煌           甘肃   基准站 
52424  95.78  40.53 1171 瓜州           甘肃   基本站 
52436  97.03  40.27 1526 玉门镇         甘肃   基本站 
52446  99.52  40.30 1177 鼎新           甘肃   基准站 
52447  98.88  40.00 1271 金塔           甘肃   基本站 
52495 104.80  40.17 1324 巴彦诺尔公     内蒙古 基准站 
52515  94.87  39.52 2137 肃北           甘肃   一般站 
52533  98.48  39.77 1477 酒泉           甘肃   基准站 
52546  99.83  39.37 1332 高台           甘肃   基本站 
52557 100.17  39.15 1454 临泽           甘肃   一般站 
52575 102.78  39.42 1240 雅布赖         内蒙古 一般站 
52576 101.68  39.22 1510 阿右旗         内蒙古 基本站 
52602  93.33  38.75 2770 冷湖           青海   基准站 
52607 106.65  39.43 1253 乌斯太         内蒙古 一般站 
52633  98.42  38.82 3367 托勒           青海   基本站 
52643  99.62  38.83 2312 肃南           甘肃   一般站 
52645  99.58  38.42 3320 野牛沟         青海   基准站 
52652 100.28  39.08 1461 张掖           甘肃   基准站 
52656 100.82  38.43 2281 民乐           甘肃   一般站 
52657 100.25  38.18 2787 祁连           青海   基本站 
52661 101.08  38.80 1766 山丹           甘肃   基本站 
52674 101.97  38.23 1977 永昌           甘肃   基本站 
52679 102.67  37.92 1532 武威           甘肃   基本站 
52681 103.08  38.63 1368 民勤           甘肃   基准站 
52707  93.68  36.80 2767 小灶火         青海   基本站 
52713  95.35  37.85 3173 大柴旦         青海   基准站 
52737  97.38  37.37 2982 德令哈         青海   基本站 
52745  99.02  37.30 3417 天峻           青海   一般站 
52754 100.13  37.33 3302 刚察           青海   基准站 
52765 101.62  37.38 2850 门源           青海   基本站 
52784 102.90  37.47 2072 古浪           甘肃   一般站 
52787 102.87  37.20 3045 乌鞘岭         甘肃   基准站 
52797 104.05  37.18 1631 景泰           甘肃   基本站 
52818  94.92  36.42 2808 格尔木         青海   基准站 
52825  96.43  36.43 2790 诺木洪         青海   基准站 
52833  98.48  36.93 2950 乌兰           青海   基本站 
52836  98.10  36.30 3189 都兰           青海   基本站 
52842  99.08  36.78 3088 茶卡           青海   基准站 
52853 100.98  36.90 3010 海晏           青海   一般站 
52855 101.25  36.68 2675 湟源           青海   一般站 
52856 100.62  36.27 2835 共和           青海   基本站 
52862 101.68  36.95 2450 大通           青海   一般站 
52863 101.95  36.82 2480 互助           青海   一般站 
52866 101.75  36.73 2295 西宁           青海   基本站 
52868 101.43  36.03 2237 贵德           青海   基本站 
52869 101.58  36.50 2668 湟中           青海   一般站 
52874 102.40  36.48 1981 乐都           青海   一般站 
52875 102.10  36.50 2125 平安           青海   一般站 
52876 102.83  36.33 1814 民和           青海   基准站 
52877 102.25  36.10 2835 化隆           青海   一般站 
52881 103.18  36.98 2485 天祝           甘肃   一般站 
52884 103.95  36.35 1669 皋兰           甘肃   基准站 
52885 103.25  36.75 2119 永登           甘肃   一般站 
52889 103.88  36.05 1517 兰州           甘肃   一般站 
52895 104.68  36.57 1398 靖远           甘肃   基本站 
52896 104.15  36.55 1739 白银           甘肃   一般站 
52908  93.08  35.22 4612 五道梁         青海   基本站 
52943  99.98  35.58 3323 兴海           青海   基准站 
52955 100.73  35.58 3120 贵南           青海   基本站 
52957 100.60  35.25 3148 同德           青海   一般站 
52963 102.02  35.93 2086 尖扎           青海   一般站 
52968 101.47  35.03 3663 泽库           青海   一般站 
52972 102.45  35.85 1921 循化           青海   一般站 
52974 102.02  35.52 2491 同仁           青海   基本站 
52978 102.52  35.20 2929 夏河           甘肃   一般站 
52980 103.30  35.97 1648 永靖           甘肃   一般站 
52981 103.38  35.68 2421 东乡           甘肃   一般站 
52982 103.55  35.48 1953 广河           甘肃   一般站 
52983 104.15  35.87 1874 榆中           甘肃   基准站 
52984 103.18  35.58 1917 临夏           甘肃   基本站 
52985 103.33  35.42 2163 和政           甘肃   一般站 
52986 103.87  35.37 1894 临洮           甘肃   基本站 
52988 103.72  35.37 2016 康乐           甘肃   一般站 
52993 105.07  35.68 1739 会宁           甘肃   一般站 
52995 104.62  35.58 1897 安定           甘肃   一般站 
52996 105.02  35.38 2451 华家岭         甘肃   基本站 
52998 104.20  35.13 2111 渭源           甘肃   一般站 
53068 111.93  43.63  963 二连浩特       内蒙古 基准站 
53083 114.15  44.62 1182 那仁宝力格     内蒙古 基本站 
53149 110.13  42.53 1225 满都拉气象站   内蒙古 基本站 
53192 114.95  44.02 1126 阿巴嘎旗       内蒙古 基本站 
53195 113.63  43.85 1037 苏尼特左旗     内蒙古 基准站 
53272 112.63  42.75 1105 苏尼特右旗     内蒙古 一般站 
53276 112.90  42.40 1151 朱日和         内蒙古 基准站 
53289 113.83  42.23 1322 镶黄旗         内蒙古 一般站 
53324 107.05  41.07 1035 乌拉特后旗     内蒙古 一般站 
53336 108.52  41.57 1288 乌拉特中旗     内蒙古 基准站 
53337 108.27  41.10 1024 五原           内蒙古 一般站 
53343 109.97  41.77 1612 白云鄂博       内蒙古 一般站 
53348 109.13  41.02 1079 大佘太         内蒙古 一般站 
53352 110.43  41.70 1377 达茂旗气象局   内蒙古 基本站 
53357 110.05  41.03 1360 固阳县气象局   内蒙古 一般站 
53362 111.68  41.53 1490 四子王         内蒙古 基本站 
53367 111.23  41.32 1602 希拉穆仁       内蒙古 基准站 
53368 111.47  41.08 1637 武川县         内蒙古 一般站 
53378 112.62  41.28 1737 察右中旗       内蒙古 一般站 
53384 113.18  41.45 1424 察右后旗       内蒙古 一般站 
53385 113.55  41.57 1385 商都           内蒙古 一般站 
53391 114.00  41.90 1483 化德           内蒙古 基本站 
53392 114.60  41.85 1422 康保           河北   一般站 
53397 113.98  41.10 1377 尚义           河北   一般站 
53399 114.70  41.15 1393 张北           河北   基准站 
53419 107.00  40.33 1055 磴口           内蒙古 一般站 
53420 107.12  40.85 1024 杭锦后旗       内蒙古 一般站 
53433 108.65  40.73 1020 乌拉特前旗     内蒙古 一般站 
53446 109.88  40.53 1005 包头市         内蒙古 基本站 
53455 110.53  40.55  999 土右旗气象局   内蒙古 一般站 
53457 110.03  40.40 1011 达拉特旗       内蒙古 一般站 
53463 111.57  40.85 1154 呼和浩特       内蒙古 基本站 
53464 111.17  40.72 1043 土默特左旗     内蒙古 一般站 
53466 111.70  40.75 1045 呼和浩特郊区站 内蒙古 一般站 
53467 111.18  40.27 1016 托克托县       内蒙古 一般站 
53469 111.82  40.40 1167 和林格尔县     内蒙古 一般站 
53472 112.57  40.87 1452 卓资           内蒙古 一般站 
53475 112.47  40.52 1269 凉城           内蒙古 一般站 
53478 112.45  40.00 1346 右玉           山西   基本站 
53480 113.07  41.03 1419 集宁           内蒙古 基本站 
53481 113.22  40.80 1317 察右前旗       内蒙古 一般站 
53483 113.83  40.87 1269 兴和           内蒙古 一般站 
53484 113.15  40.45 1192 丰镇           内蒙古 一般站 
53486 113.77  40.37 1050 阳高           山西   一般站 
53487 113.42  40.08 1053 大同           山西   基本站 
53488 113.58  40.03 1034 大同县         山西   一般站 
53490 114.05  40.43 1015 天镇           山西   基本站 
53491 114.38  40.67  838 怀安           河北   一般站 
53492 114.15  40.10  938 阳原           河北   一般站 
53498 115.03  40.57  629 宣化           河北   一般站 
53499 114.73  40.77  755 万全           河北   一般站 
53502 105.75  39.78 1032 吉兰太         内蒙古 基本站 
53505 105.40  37.88 1381 孪井滩         内蒙古 一般站 
53512 106.80  39.80 1106 乌海           内蒙古 一般站 
53513 107.37  40.73 1041 临河           内蒙古 基本站 
53517 106.33  39.27 1465 石炭井         宁夏   一般站 
53518 106.35  39.03 1118 石嘴山         宁夏   一般站 
53519 106.77  39.22 1093 惠农           宁夏   基本站 
53522 107.83  40.05 1180 伊克乌素       内蒙古 一般站 
53529 107.97  39.08 1381 鄂托克旗       内蒙古 基本站 
53533 108.73  39.85 1390 杭锦旗         内蒙古 一般站 
53543 109.98  39.83 1462 东胜           内蒙古 基本站 
53545 109.72  39.57 1367 伊金霍洛旗     内蒙古 一般站 
53547 109.03  39.10 1312 乌审召         内蒙古 基准站 
53553 111.22  39.87 1221 准格尔旗       内蒙古 一般站 
53562 111.67  39.92 1187 清水河县       内蒙古 一般站 
53564 111.15  39.38  862 河曲           山西   基本站 
53565 111.50  39.43 1052 偏关           山西   一般站 
53567 111.08  39.03  981 府谷           陕西   一般站 
53573 112.70  40.00 1336 左云           山西   一般站 
53574 112.27  39.52 1409 平鲁           山西   一般站 
53575 112.20  39.10 1525 神池           山西   一般站 
53576 112.82  39.50 1045 山阴           山西   一般站 
53577 112.30  39.00 1437 宁武           山西   一般站 
53578 112.43  39.37 1115 朔州           山西   基本站 
53579 112.90  39.02  860 代县           山西   基准站 
53580 113.10  39.82 1045 怀仁           山西   一般站 
53582 113.67  39.72 1079 浑源           山西   一般站 
53584 113.17  39.57 1001 应县           山西   一般站 
53585 113.27  39.17  934 繁峙           山西   一般站 
53588 113.52  38.95 2208 五台山         山西   基本站 
53590 114.27  39.75  978 广灵           山西   一般站 
53593 114.57  39.83  910 蔚县           河北   基本站 
53594 114.18  39.45  939 灵丘           山西   基本站 
53596 115.13  38.85   52 顺平           河北   一般站 
53599 114.68  39.37  884 涞源           河北   一般站 
53602 105.67  38.83 1561 阿拉善左旗     内蒙古 基本站 
53603 106.37  38.83 1095 沙湖           宁夏   一般站 
53610 106.35  38.57 1106 贺兰           宁夏   一般站 
53611 106.55  38.88 1099 平罗           宁夏   一般站 
53612 106.18  37.98 1129 吴忠           宁夏   基本站 
53614 106.20  38.47 1111 银川           宁夏   基准站 
53615 106.70  38.80 1102 陶乐           宁夏   基本站 
53617 106.08  38.03 1118 青铜峡         宁夏   一般站 
53618 106.25  38.28 1114 永宁           宁夏   一般站 
53619 106.30  38.12 1116 灵武           宁夏   一般站 
53644 108.83  38.60 1307 乌审旗         内蒙古 一般站 
53646 109.78  38.27 1157 榆林           陕西   基本站 
53651 110.47  38.82 1098 神木           陕西   基本站 
53658 110.48  38.03  894 佳县           陕西   一般站 
53659 111.00  37.97 1163 临县           山西   一般站 
53660 111.08  39.02  894 保德           山西   一般站 
53662 111.58  38.72 1397 岢岚           山西   一般站 
53663 111.82  38.92 1401 五寨           山西   基准站 
53664 111.13  38.47 1013 兴县           山西   基本站 
