diamond 16 sta2515 2517
45001   2212  11401    6
45004   2219  11410    6
45005   2218  11410    6
45007   2219  11412    6
45009   2211  11418    6
45011   2212  11332    6
50136   5328  12222    6
50204   5250  12311    6
50246   5219  12443    6
50247   5203  12340    6
50349   5142  12420    6
50353   5143  12639    6
50425   5015  12011    6
50431   5047  12131    6
50434   5029  12141    6
50442   5024  12407    6
50445   5035  12344    6
50468   5015  12727    6
50514   4934  11726    6
50524   4919  11926    6
50525   4909  11945    6
50526   4917  12042    6
50527   4913  11945    6
50548   4912  12343    6
50557   4910  12514    6
50564   4926  12721    6
50566   4935  12828    6
50603   4840  11649    6
50618   4813  11816    6
50632   4846  12155    6
50639   4800  12244    6
50645   4828  12429    6
50646   4829  12451    6
50647   4807  12329    6
50655   4830  12611    6
50656   4817  12631    6
50658   4803  12553    6
50659   4802  12615    6
50673   4853  13024    6
50674   4834  12926    6
50727   4710  11957    6
50739   4720  12311    6
50741   4756  12330    6
50742   4748  12429    6
50745   4723  12355    6
50749   4711  12450    6
50750   4754  12518    6
50755   4736  12606    6
50756   4726  12658    6
50758   4710  12554    6
50767   4714  12706    6
50772   4807  12915    6
50774   4744  12855    6
50775   4722  13020    6
50776   4734  13050    6
50778   4739  13230    6
50779   4822  13417    6
50787   4717  13151    6
50788   4714  13159    6
50832   4643  12205    6
50833   4643  12254    6
50834   4636  12113    6
50838   4605  12203    6
50842   4652  12426    6
50844   4624  12325    6
50851   4641  12606    6
50852   4652  12629    6
50853   4637  12658    6
50854   4623  12519    6
50858   4604  12558    6
50859   4615  12616    6
50861   4653  12729    6
50862   4659  12801    6
50867   4605  12721    6
50871   4644  12953    6
50873   4649  13017    6
50877   4618  12935    6
50878   4701  13043    6
50879   4612  13031    6
50880   4643  13108    6
50884   4638  13109    6
50888   4619  13211    6
50892   4648  13400    6
50913   4543  11848    6
50915   4531  11658    6
50928   4504  12020    6
50934   4524  12133    6
50936   4538  12250    6
50937   4503  12128    6
50939   4520  12249    6
50940   4551  12310    6
50945   4530  12416    6
50946   4511  12450    6
50948   4500  12401    6
50949   4507  12450    6
50950   4542  12515    6
50953   4545  12646    6
50954   4530  12505    6
50955   4523  12618    6
50956   4600  12636    6
50958   4531  12658    6
50960   4547  12727    6
50962   4557  12802    6
50963   4558  12844    6
50964   4550  12848    6
50965   4527  12818    6
50968   4513  12758    6
